"Passengers (All Carriers - Dallas/Fort Worth, TX: Dallas/Fort Worth International (Destination Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"1,926,724","145,497","2,072,221"
2002,11,"1,744,568","133,151","1,877,719"
2002,12,"1,983,451","151,306","2,134,757"
2002,TOTAL,"22,516,425","1,850,328","24,366,753"
2003,1,"1,709,224","161,513","1,870,737"
2003,2,"1,567,607","128,585","1,696,192"
2003,3,"1,958,619","159,045","2,117,664"
2003,4,"1,766,639","132,928","1,899,567"
2003,5,"1,947,056","132,878","2,079,934"
2003,6,"2,056,276","154,938","2,211,214"
2003,7,"2,222,909","195,638","2,418,547"
2003,8,"2,071,796","189,148","2,260,944"
2003,9,"1,692,688","136,895","1,829,583"
2003,10,"1,955,607","139,491","2,095,098"
2003,11,"1,953,847","148,071","2,101,918"
2003,12,"2,111,209","159,517","2,270,726"
2003,TOTAL,"23,013,477","1,838,647","24,852,124"
2004,1,"1,924,238","174,106","2,098,344"
2004,2,"1,884,597","154,386","2,038,983"
2004,3,"2,245,568","188,690","2,434,258"
2004,4,"2,107,583","177,512","2,285,095"
2004,5,"2,185,082","169,964","2,355,046"
2004,6,"2,329,493","190,895","2,520,388"
2004,7,"2,402,614","228,029","2,630,643"
2004,8,"2,234,085","212,187","2,446,272"
2004,9,"1,986,724","161,544","2,148,268"
2004,10,"2,202,562","166,855","2,369,417"
2004,11,"2,102,967","159,092","2,262,059"
2004,12,"2,120,809","173,162","2,293,971"
2004,TOTAL,"25,726,322","2,156,422","27,882,744"
2005,1,"1,963,469","194,838","2,158,307"
2005,2,"1,768,712","160,656","1,929,368"
2005,3,"2,192,050","210,910","2,402,960"
2005,4,"2,030,620","184,492","2,215,112"
2005,5,"2,157,473","186,245","2,343,718"
2005,6,"2,335,049","218,786","2,553,835"
2005,7,"2,418,659","260,348","2,679,007"
2005,8,"2,212,243","227,390","2,439,633"
2005,9,"1,999,684","178,445","2,178,129"
2005,10,"2,146,081","188,898","2,334,979"
2005,11,"2,150,036","173,306","2,323,342"
2005,12,"2,155,617","194,006","2,349,623"
2005,TOTAL,"25,529,693","2,378,320","27,908,013"
2006,1,"2,015,866","210,425","2,226,291"
2006,2,"1,874,648","176,227","2,050,875"
2006,3,"2,265,538","215,197","2,480,735"
2006,4,"2,173,821","208,983","2,382,804"
2006,5,"2,302,039","205,557","2,507,596"
2006,6,"2,381,597","222,217","2,603,814"
2006,7,"2,421,571","260,040","2,681,611"
2006,8,"2,210,843","233,790","2,444,633"
2006,9,"1,967,096","184,592","2,151,688"
2006,10,"2,180,226","190,972","2,371,198"
2006,11,"2,074,940","178,446","2,253,386"
2006,12,"2,151,738","192,253","2,343,991"
2006,TOTAL,"26,019,923","2,478,699","28,498,622"
2007,1,"1,952,081","201,549","2,153,630"
2007,2,"1,868,479","164,447","2,032,926"
2007,3,"2,272,415","211,368","2,483,783"
2007,4,"2,121,512","196,573","2,318,085"
2007,5,"2,247,347","196,936","2,444,283"
2007,6,"2,312,269","214,446","2,526,715"
2007,7,"2,405,605","248,273","2,653,878"
2007,8,"2,329,884","228,925","2,558,809"
2007,9,"1,998,703","181,821","2,180,524"
2007,10,"2,206,992","186,388","2,393,380"
2007,11,"2,145,153","184,663","2,329,816"
2007,12,"2,075,645","196,820","2,272,465"
2007,TOTAL,"25,936,085","2,412,209","28,348,294"
2008,1,"1,966,683","206,628","2,173,311"
2008,2,"1,907,140","181,443","2,088,583"
2008,3,"2,091,215","213,473","2,304,688"
2008,4,"1,929,037","194,489","2,123,526"
2008,5,"2,166,517","205,786","2,372,303"
2008,6,"2,265,618","216,918","2,482,536"
2008,7,"2,341,286","240,467","2,581,753"
2008,8,"2,209,792","241,202","2,450,994"
2008,9,"1,875,431","179,165","2,054,596"
2008,10,"2,089,069","184,402","2,273,471"
2008,11,"1,854,301","182,199","2,036,500"
2008,12,"2,012,472","188,037","2,200,509"
2008,TOTAL,"24,708,561","2,434,209","27,142,770"
2009,1,"1,786,402","193,143","1,979,545"
2009,2,"1,725,999","161,389","1,887,388"
2009,3,"2,068,331","197,141","2,265,472"
2009,4,"1,995,856","188,918","2,184,774"
2009,5,"2,068,127","163,124","2,231,251"
2009,6,"2,208,618","204,803","2,413,421"
2009,7,"2,353,506","245,504","2,599,010"
2009,8,"2,196,682","231,436","2,428,118"
2009,9,"1,902,413","176,874","2,079,287"
2009,10,"2,077,823","189,264","2,267,087"
2009,11,"1,931,294","179,779","2,111,073"
2009,12,"1,989,877","190,549","2,180,426"
2009,TOTAL,"24,304,928","2,321,924","26,626,852"
2010,1,"1,840,035","197,837","2,037,872"
2010,2,"1,658,943","166,426","1,825,369"
2010,3,"2,110,510","212,635","2,323,145"
2010,4,"2,015,468","194,158","2,209,626"
2010,5,"2,099,091","201,934","2,301,025"
2010,6,"2,212,339","224,611","2,436,950"
2010,7,"2,266,950","268,208","2,535,158"
2010,8,"2,164,023","252,354","2,416,377"
2010,9,"1,968,306","191,871","2,160,177"
2010,10,"2,158,950","209,072","2,368,022"
2010,11,"2,006,264","189,415","2,195,679"
2010,12,"2,041,369","209,994","2,251,363"
2010,TOTAL,"24,542,248","2,518,515","27,060,763"
2011,1,"1,863,530","210,724","2,074,254"
2011,2,"1,674,339","174,226","1,848,565"
2011,3,"2,120,745","219,471","2,340,216"
2011,4,"1,991,163","204,157","2,195,320"
2011,5,"2,110,731","202,981","2,313,712"
2011,6,"2,276,903","231,835","2,508,738"
2011,7,"2,357,425","284,903","2,642,328"
2011,8,"2,227,019","260,417","2,487,436"
2011,9,"2,062,879","200,013","2,262,892"
2011,10,"2,175,610","211,060","2,386,670"
2011,11,"2,025,774","191,985","2,217,759"
2011,12,"1,999,807","213,468","2,213,275"
2011,TOTAL,"24,885,925","2,605,240","27,491,165"
2012,1,"1,861,950","219,297","2,081,247"
2012,2,"1,830,966","194,837","2,025,803"
2012,3,"2,169,610","236,900","2,406,510"
2012,4,"1,987,924","227,725","2,215,649"
2012,5,"2,221,175","232,594","2,453,769"
2012,6,"2,247,913","257,973","2,505,886"
2012,7,"2,287,605","315,357","2,602,962"
2012,8,"2,247,134","289,961","2,537,095"
2012,9,"1,973,258","231,468","2,204,726"
2012,10,"2,150,643","235,014","2,385,657"
2012,11,"2,067,366","229,794","2,297,160"
2012,12,"2,079,249","249,876","2,329,125"
2012,TOTAL,"25,124,793","2,920,796","28,045,589"
2013,1,"2,014,563","253,437","2,268,000"
2013,2,"1,916,024","213,523","2,129,547"
2013,3,"2,228,355","266,938","2,495,293"
2013,4,"2,097,394","243,195","2,340,589"
2013,5,"2,239,143","260,264","2,499,407"
2013,6,"2,304,925","302,692","2,607,617"
2013,7,"2,348,743","358,278","2,707,021"
2013,8,"2,284,777","336,726","2,621,503"
2013,9,"2,052,165","253,907","2,306,072"
2013,10,"2,265,793","256,931","2,522,724"
2013,11,"2,027,902","246,135","2,274,037"
2013,12,"2,053,784","269,647","2,323,431"
2013,TOTAL,"25,833,568","3,261,673","29,095,241"
2014,1,"2,099,803","289,537","2,389,340"
2014,2,"1,923,377","227,484","2,150,861"
2014,3,"2,283,720","279,474","2,563,194"
2014,4,"2,202,251","271,595","2,473,846"
2014,5,"2,367,655","280,041","2,647,696"
2014,6,"2,472,916","317,766","2,790,682"
2014,7,"2,541,951","382,651","2,924,602"
2014,8,"2,468,716","355,775","2,824,491"
2014,9,"2,268,227","271,404","2,539,631"
2014,10,"2,357,601","267,336","2,624,937"
2014,11,"2,090,204","265,837","2,356,041"
2014,12,"2,284,130","294,251","2,578,381"
2014,TOTAL,"27,360,551","3,503,151","30,863,702"
2015,1,"2,120,158","313,939","2,434,097"
2015,2,"1,888,812","248,380","2,137,192"
2015,3,"2,304,042","316,370","2,620,412"
2015,4,"2,270,277","286,557","2,556,834"
2015,5,"2,343,918","315,306","2,659,224"
2015,6,"2,490,834","353,234","2,844,068"
2015,7,"2,643,687","416,660","3,060,347"
2015,8,"2,552,892","394,610","2,947,502"
2015,9,"2,306,642","297,030","2,603,672"
2015,10,"2,428,335","303,250","2,731,585"
2015,11,"2,224,238","282,185","2,506,423"
2015,12,"2,254,820","304,324","2,559,144"
2015,TOTAL,"27,828,655","3,831,845","31,660,500"
2016,1,"2,152,157","325,666","2,477,823"
2016,2,"2,045,422","265,559","2,310,981"
2016,3,"2,348,602","336,591","2,685,193"
2016,4,"2,171,161","306,093","2,477,254"
2016,5,"2,343,061","319,882","2,662,943"
2016,6,"2,419,471","365,622","2,785,093"
2016,7,"2,498,561","424,243","2,922,804"
2016,8,"2,367,372","386,445","2,753,817"
2016,9,"2,293,856","301,649","2,595,505"
2016,10,"2,365,818","311,646","2,677,464"
2016,11,"2,174,020","289,316","2,463,336"
2016,12,"2,196,171","317,022","2,513,193"
2016,TOTAL,"27,375,672","3,949,734","31,325,406"
2017,1,"2,095,479","337,463","2,432,942"
2017,2,"1,965,445","276,321","2,241,766"
2017,3,"2,354,682","335,983","2,690,665"
2017,4,"2,162,117","328,525","2,490,642"
2017,5,"2,385,424","338,423","2,723,847"
2017,6,"2,444,717","391,239","2,835,956"
2017,7,"2,513,673","459,503","2,973,176"
2017,8,"2,469,451","424,583","2,894,034"
2017,9,"2,242,612","324,419","2,567,031"
2017,10,"2,475,858","316,132","2,791,990"
2017,11,"2,292,336","292,263","2,584,599"
2017,12,"2,309,878","330,573","2,640,451"
2017,TOTAL,"27,711,672","4,155,427","31,867,099"
2018,1,"2,176,456","347,381","2,523,837"
2018,2,"2,067,337","282,219","2,349,556"
2018,3,"2,432,330","354,283","2,786,613"
2018,4,"2,301,135","335,626","2,636,761"
2018,5,"2,468,180","341,156","2,809,336"
2018,6,"2,633,306","403,535","3,036,841"
2018,7,"2,689,066","455,994","3,145,060"
2018,8,"2,580,805","407,455","2,988,260"
2018,9,"2,220,152","306,353","2,526,505"
2018,10,"2,397,791","328,503","2,726,294"
2018,11,"2,345,164","315,174","2,660,338"
2018,12,"2,305,742","333,018","2,638,760"
2018,TOTAL,"28,617,464","4,210,697","32,828,161"
2019,1,"2,285,108","361,440","2,646,548"
2019,2,"2,156,529","295,443","2,451,972"
2019,3,"2,561,312","373,279","2,934,591"
2019,4,"2,402,396","354,458","2,756,854"
2019,5,"2,722,249","384,866","3,107,115"
2019,6,"2,809,607","458,997","3,268,604"
2019,7,"2,919,724","534,771","3,454,495"
2019,8,"2,846,722","479,803","3,326,525"
2019,9,"2,571,381","365,980","2,937,361"
2019,10,"2,684,673","367,143","3,051,816"
2019,11,"2,534,533","327,135","2,861,668"
2019,12,"2,676,981","362,908","3,039,889"
2019,TOTAL,"31,171,215","4,666,223","35,837,438"
2020,1,"2,409,443","374,018","2,783,461"
2020,2,"2,356,825","300,378","2,657,203"
2020,3,"1,356,860","205,777","1,562,637"
2020,4,"191,803","11,874","203,677"
2020,5,"599,058","21,722","620,780"
2020,6,"989,885","36,894","1,026,779"
2020,7,"1,442,961","89,533","1,532,494"
2020,8,"1,451,057","102,505","1,553,562"
2020,9,"1,515,602","94,808","1,610,410"
2020,10,"1,704,711","118,961","1,823,672"
2020,11,"1,491,905","138,270","1,630,175"
2020,12,"1,511,942","155,865","1,667,807"
2020,TOTAL,"17,022,052","1,650,605","18,672,657"
2021,1,"1,296,465","184,117","1,480,582"
2021,2,"1,106,336","94,381","1,200,717"
2021,3,"1,965,172","200,436","2,165,608"
2021,4,"2,026,501","224,440","2,250,941"
2021,5,"2,368,038","258,285","2,626,323"
2021,6,"2,734,985","319,265","3,054,250"
2021,7,"2,946,463","376,595","3,323,058"
2021,8,"2,505,046","314,556","2,819,602"
2021,9,"2,373,424","210,541","2,583,965"
2021,10,"2,627,349","253,875","2,881,224"
2021,11,"2,556,881","272,386","2,829,267"
2021,12,"2,581,842","303,355","2,885,197"
2021,TOTAL,"27,088,502","3,012,232","30,100,734"
2022,1,"2,014,410","295,208","2,309,618"
2022,2,"1,833,352","223,407","2,056,759"
2022,3,"2,542,466","347,381","2,889,847"
2022,4,"2,549,319","371,138","2,920,457"
2022,5,"2,770,752","398,038","3,168,790"
2022,6,"2,839,494","469,409","3,308,903"
2022,7,"2,853,911","545,890","3,399,801"
2022,8,"2,689,120","478,250","3,167,370"
2022,9,"2,662,181","379,965","3,042,146"
2022,10,"2,785,990","402,581","3,188,571"
2022,11,"2,527,799","383,877","2,911,676"
2022,12,"2,598,939","416,914","3,015,853"
2022,TOTAL,"30,667,733","4,712,058","35,379,791"
2023,1,"2,335,382","431,172","2,766,554"
2023,2,"2,294,491","361,830","2,656,321"
2023,3,"2,752,349","440,153","3,192,502"
2023,4,"2,647,922","409,808","3,057,730"
2023,5,"2,908,279","429,373","3,337,652"
2023,6,"3,102,901","520,419","3,623,320"
2023,7,"3,193,432","608,096","3,801,528"
2023,TOTAL,"19,234,756","3,200,851","22,435,607"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Market data.,,,,